date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:48	95496/95496	---MCZ	200	added ('OK')	text/css	etag:W/%22b034527c42d49d2d4afd74b1bf8127a9%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/styles.css?1722721401920897	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/stylesf38d.css	(from https://www.moneymakinghomemaker.com/)
15:21:48	19/19	---M--	200	added ('OK')	text/css	etag:%229620106017b5ef6ab9ee9eda3d1ee1b0%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/overrides.css?1722721401920897	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/overridesf38d.css	(from https://www.moneymakinghomemaker.com/)
15:21:49	36307/36307	---M--	200	added ('OK')	image/png	etag:%223d2be1124da0445501a91ea0ac229ee1-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/dd4cf4b-1451-b7fd-7865-ff53e6e00f4_MMH_Official_Logo.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/dd4cf4b-1451-b7fd-7865-ff53e6e00f4_MMH_Official_Logo.png	(from https://www.moneymakinghomemaker.com/)
15:21:50	4527/4527	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2025%20Nov%202024%2011:21:50%20GMT	https://www.moneymakinghomemaker.com/login	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/login.11.delayed	(from https://www.moneymakinghomemaker.com/)
15:21:55	16070/16070	---M--	200	added ('OK')	image/png	etag:%22e06c3d2e2e4076d43324ddf856a90d8e-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/626efb5-1a07-cee7-aa01-e3f128b72_Arrows_Black_.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/626efb5-1a07-cee7-aa01-e3f128b72_Arrows_Black_.png	(from https://www.moneymakinghomemaker.com/)
15:22:10	862322/862322	---M-Z	200	added ('OK')	text/javascript	etag:%22997d3daa5df2b86fcef9b80bb5cf2ab7%22	https://fast.wistia.com/assets/external/E-v1.js	C:/My%20Web%20Sites/moneymakinghomemaker/fast.wistia.com/assets/external/E-v1.js	(from https://www.moneymakinghomemaker.com/)
15:22:21	1044025/1044025	---M--	200	added ('OK')	image/png	etag:%221df118262f9d2eec4eb84a3764ef460a-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/c8c3f81-7bf8-783b-3ad3-bc7bc6888_mediamodifier_image_5_.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/c8c3f81-7bf8-783b-3ad3-bc7bc6888_mediamodifier_image_5_.png	(from https://www.moneymakinghomemaker.com/)
15:22:22	145837/145837	---M--	200	added ('OK')	image/png	etag:%223c9861dd3f9bf665456f5f1f3f489650-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/6a8ec2-34bb-52d4-540-8a2a6bb5e740_4deeb42c-03ed-456b-a463-40394b98bc4f.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/6a8ec2-34bb-52d4-540-8a2a6bb5e740_4deeb42c-03ed-456b-a463-40394b98bc4f.16.del	(from https://www.moneymakinghomemaker.com/)
15:22:22	41035/41035	---M--	200	added ('OK')	image/png	etag:%22a4ee3a5062996f8093412736f2dc3305-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/1411ba-ba1-daaf-fa32-82b653ecbe78_fd5b8265-8b4c-466b-b9b7-93a41d41303a.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/1411ba-ba1-daaf-fa32-82b653ecbe78_fd5b8265-8b4c-466b-b9b7-93a41d41303a.17.del	(from https://www.moneymakinghomemaker.com/)
15:22:23	41035/41035	---M--	200	added ('OK')	image/png	etag:%22a4ee3a5062996f8093412736f2dc3305-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/afbe4eb-4ae-3033-04be-7f1ccf880_fd5b8265-8b4c-466b-b9b7-93a41d41303a.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/afbe4eb-4ae-3033-04be-7f1ccf880_fd5b8265-8b4c-466b-b9b7-93a41d41303a.18.delay	(from https://www.moneymakinghomemaker.com/)
15:22:23	36351/36351	---M-Z	200	added ('OK')	text/javascript	etag:%2234e34f31b34d63002f7ed718b3ede151%22	https://fast.wistia.com/labs/crop-fill/plugin.js	C:/My%20Web%20Sites/moneymakinghomemaker/fast.wistia.com/labs/crop-fill/plugin.js	(from https://www.moneymakinghomemaker.com/)
15:22:25	234791/234791	---MCZ	200	added ('OK')	text/javascript	etag:W/%22aa3f78dced7a443e841a57934f7bb302%22	https://kajabi-app-assets.kajabi-cdn.com/assets/encore_core-f4735cadef603151d28ba781c6a9b7e0fbd3e895347360bf76166481afeacf15.js	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-app-assets.kajabi-cdn.com/assets/encore_core-f4735cadef603151d28ba781c6a9b7e0fbd3e895347360bf76166481afeacf15.js	(from https://www.moneymakinghomemaker.com/)
15:22:28	1218893/1218893	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e16255ab43aeea2c4118cd344ae7f07a%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/scripts.js?1722721401920897	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187441/assets/scriptsf38d.js	(from https://www.moneymakinghomemaker.com/)
15:22:32	1270737/1270737	---M--	200	added ('OK')	image/png	etag:%22b9d43e3a7e967b95348bda6b941c762e-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/de8ae4-758d-2766-6dcf-4333a3beba6c_Beige_Brown_Bold_Neutral_Quote_Photo_Frame_Instagram_Post_1_.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155719493/settings_images/de8ae4-758d-2766-6dcf-4333a3beba6c_Beige_Brown_Bold_Neutral_Quote_Photo_Frame	(from https://www.moneymakinghomemaker.com/)
15:22:32	20700/20700	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:22:32%20GMT	https://www.moneymakinghomemaker.com/a	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/a.1d.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
15:22:33	20706/20706	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:22:33%20GMT	https://www.moneymakinghomemaker.com/POST	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
15:22:35	20726/20726	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:22:35%20GMT	https://www.moneymakinghomemaker.com/b.resolvedLink	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
15:22:37	20726/20726	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:22:37%20GMT	https://www.moneymakinghomemaker.com/signals/iwl.js	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
15:22:38	20710/20710	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:22:38%20GMT	https://www.moneymakinghomemaker.com/schema.org/	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
15:30:22	40958686/40958686	---M--	200	added ('OK')	image/gif	etag:%22483169963af8298d58f86f1542270885-8%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2157368881/settings_images/3112fbd-6880-f8ec-6d1a-4c40df2e86_Click_Play_Now_Image.gif	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2157368881/settings_images/3112fbd-6880-f8ec-6d1a-4c40df2e86_Click_Play_Now_Image.gif	(from https://www.moneymakinghomemaker.com/)
